hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
210,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
211,test_cost.log,LiteralOp false,205,CP,LOUT,null,<missing>,[],"[216, 216]",<missing>,<missing>,<missing>,<missing>,<missing>
211,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
211,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
212,test_cost.log,LiteralOp :,206,CP,LOUT,null,<missing>,[],[216],<missing>,<missing>,<missing>,<missing>,<missing>
212,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
212,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
213,test_cost.log,LiteralOp text,207,CP,LOUT,null,<missing>,[],[216],<missing>,<missing>,<missing>,<missing>,<missing>
213,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
213,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
215,test_cost.log,"LiteralOp ,",208,CP,LOUT,null,<missing>,[],[216],<missing>,<missing>,<missing>,<missing>,<missing>
215,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
215,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
216,test_cost.log,PWrite PC,202,CP,LOUT,null,<missing>,"[209, 210, 211, 212, 213, 211, 215]",[],<missing>,<missing>,<missing>,<missing>,<missing>
216,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
216,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
218,test_cost.log,LiteralOp Infinity,219,CP,LOUT,null,<missing>,[],[80],<missing>,<missing>,<missing>,<missing>,<missing>
218,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
218,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
220,test_cost.log,LiteralOp Infinity,196,CP,LOUT,null,<missing>,[],[89],<missing>,<missing>,<missing>,<missing>,<missing>
220,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
220,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
222,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
222,test_fedall.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[184, 193]",[],[],null,[],[]
222,test_heuristic.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[184, 193]",[],[],null,[],[]
235,test_cost.log,"LiteralOp seq(1, 100)",187,CP,LOUT,null,<missing>,[],[54],<missing>,<missing>,<missing>,<missing>,<missing>
235,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
235,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
236,test_cost.log,TWrite Components,209,CP,LOUT,null,<missing>,[59],[],<missing>,<missing>,<missing>,<missing>,<missing>
236,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
236,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
246,test_cost.log,ua(meanC),158,FED,LOUT,null,<missing>,[18],[245],<missing>,<missing>,<missing>,<missing>,<missing>
246,test_fedall.log,ua(meanC),92,CP,LOUT,none,NO_RULE,[18],[245],[],[],null,[ROW],[]
246,test_heuristic.log,ua(meanC),92,CP,LOUT,none,NO_RULE,[18],[245],[],[],null,[ROW],[]
255,test_cost.log,ua(sq+C),170,FED,LOUT,null,<missing>,[256],[254],<missing>,<missing>,<missing>,<missing>,<missing>
255,test_fedall.log,ua(sq+C),98,CP,LOUT,none,NO_RULE,[256],[254],[],[],null,[ROW],[]
255,test_heuristic.log,ua(sq+C),98,CP,LOUT,none,NO_RULE,[256],[254],[],[],null,[ROW],[]
296,test_cost.log,TRead K,363,CP,LOUT,null,<missing>,[454],[297],<missing>,<missing>,<missing>,<missing>,<missing>
296,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
296,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
297,test_cost.log,b(>),362,CP,LOUT,null,<missing>,"[296, 491]",[298],<missing>,<missing>,<missing>,<missing>,<missing>
297,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
